[2021-02-24 15:22:51.711] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wangjunyao.middleware.server.RabbitmqTest], using SpringBootContextLoader
[2021-02-24 16:36:07.745] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wangjunyao.middleware.server.RabbitmqTest], using SpringBootContextLoader
[2021-02-24 16:36:07.765] boot -  INFO [main] --- AbstractContextLoader:Could not detect default resource locations for test class [com.wangjunyao.middleware.server.RabbitmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[2021-02-24 16:36:08.124] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2021-02-24 16:36:08.172] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@612679d6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@11758f2a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e720b71, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1b26f7b2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@491cc5c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@74ad1f1f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a1aab78, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@462d5aee, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69b0fd6f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@757942a1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a87761d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66d1af89]
[2021-02-24 16:36:09.208] boot -  INFO [main] --- RabbitmqTest:Starting RabbitmqTest on 王俊瑶 with PID 10088 (started by wangjunyao in E:\idea-workspace\middleware\server)
[2021-02-24 16:36:09.209] boot -  INFO [main] --- RabbitmqTest:No active profile set, falling back to default profiles: default
[2021-02-24 16:36:09.347] boot -  INFO [main] --- GenericWebApplicationContext:Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5c6648b0: startup date [Wed Feb 24 16:36:09 CST 2021]; root of context hierarchy
[2021-02-24 16:36:10.905] boot -  INFO [background-preinit] --- Version:HV000001: Hibernate Validator 5.3.6.Final
[2021-02-24 16:36:12.435] boot -  INFO [main] --- RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-02-24 16:36:13.412] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$fa2325da] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2021-02-24 16:36:13.518] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$33b767ac] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2021-02-24 16:36:17.033] boot -  INFO [main] --- RequestMappingHandlerAdapter:Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@5c6648b0: startup date [Wed Feb 24 16:36:09 CST 2021]; root of context hierarchy
[2021-02-24 16:36:17.172] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/book/info],methods=[GET]}" onto public com.wangjunyao.middleware.server.entity.Book com.wangjunyao.middleware.server.controller.BookController.info(java.lang.Integer,java.lang.String)
[2021-02-24 16:36:17.174] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/cache/pass/item/info],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.wangjunyao.middleware.server.controller.redis.CachePassController.getItem(java.lang.String)
[2021-02-24 16:36:17.177] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/red/packet/hand/out],methods=[POST],consumes=[application/json;charset=UTF-8]}" onto public com.wangjunyao.middleware.api.response.BaseResponse com.wangjunyao.middleware.server.controller.redis.RedPacketController.handOut(com.wangjunyao.middleware.server.dto.RedPacketDto,org.springframework.validation.BindingResult)
[2021-02-24 16:36:17.182] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/red/packet/rob],methods=[GET],consumes=[application/json;charset=UTF-8]}" onto public com.wangjunyao.middleware.api.response.BaseResponse com.wangjunyao.middleware.server.controller.redis.RedPacketController.rob(java.lang.Integer,java.lang.String)
[2021-02-24 16:36:17.185] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
[2021-02-24 16:36:17.186] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2021-02-24 16:36:17.300] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 16:36:17.309] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 16:36:17.431] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 16:36:19.289] boot -  INFO [main] --- DefaultLifecycleProcessor:Starting beans in phase 2147483647
[2021-02-24 16:36:19.305] boot -  INFO [SimpleAsyncTaskExecutor-1] --- CachingConnectionFactory:Attempting to connect to: [127.0.0.1:5672]
[2021-02-24 16:36:19.473] boot -  INFO [SimpleAsyncTaskExecutor-1] --- CachingConnectionFactory:Created new connection: rabbitConnectionFactory#259836b2:0/SimpleConnection@2a821233 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 58574]
[2021-02-24 16:36:19.949] boot -  INFO [main] --- RabbitmqTest:Started RabbitmqTest in 11.558 seconds (JVM running for 13.539)
[2021-02-24 16:36:20.392] boot -  INFO [main] --- KnowledgePublisher:基于AUTO机制 - 生产者发送消息 - 内容为：KnowledgeInfo(id=10010, mode=基于AUTO的消息确认消费模式, code=auto)
[2021-02-24 16:36:20.434] boot -  INFO [Thread-2] --- GenericWebApplicationContext:Closing org.springframework.web.context.support.GenericWebApplicationContext@5c6648b0: startup date [Wed Feb 24 16:36:09 CST 2021]; root of context hierarchy
[2021-02-24 16:36:20.437] boot -  WARN [SimpleAsyncTaskExecutor-1] --- Jackson2JsonMessageConverter:Could not convert incoming message with content-type [application/octet-stream], 'json' keyword missing.
[2021-02-24 16:36:20.437] boot -  INFO [Thread-2] --- DefaultLifecycleProcessor:Stopping beans in phase 2147483647
[2021-02-24 16:36:20.462] boot -  INFO [AMQP Connection 127.0.0.1:5672] --- RabbitmqConfig:消息发送成功：correlationData(null), ack(true), cause(null)
[2021-02-24 16:36:20.527] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:20.759] boot -  INFO [SimpleAsyncTaskExecutor-1] --- KnowledgeConsumer:基于AUTO的确认消费模式 - 消费者监听消费消息 - 内容为：KnowledgeInfo(id=10010, mode=基于AUTO的消息确认消费模式, code=auto)
[2021-02-24 16:36:20.982] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:20.985] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:21.916] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:21.918] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:22.777] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:22.779] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:22.931] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:22.933] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:22.948] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:22.950] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:23.950] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:23.953] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:24.963] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:24.966] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:25.966] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:25.968] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:26.972] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:26.974] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 16:36:27.986] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 16:36:27.988] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 16:36:27.989] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:06.276] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wangjunyao.middleware.server.RabbitmqTest], using SpringBootContextLoader
[2021-02-24 17:52:06.287] boot -  INFO [main] --- AbstractContextLoader:Could not detect default resource locations for test class [com.wangjunyao.middleware.server.RabbitmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[2021-02-24 17:52:06.483] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2021-02-24 17:52:06.540] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@11758f2a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e720b71, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1b26f7b2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@491cc5c9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@74ad1f1f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6a1aab78, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@462d5aee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@69b0fd6f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@757942a1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4a87761d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@66d1af89, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@8646db9]
[2021-02-24 17:52:07.408] boot -  INFO [main] --- RabbitmqTest:Starting RabbitmqTest on 王俊瑶 with PID 2276 (started by wangjunyao in E:\idea-workspace\middleware\server)
[2021-02-24 17:52:07.409] boot -  INFO [main] --- RabbitmqTest:No active profile set, falling back to default profiles: default
[2021-02-24 17:52:07.483] boot -  INFO [main] --- GenericWebApplicationContext:Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6f1de4c7: startup date [Wed Feb 24 17:52:07 CST 2021]; root of context hierarchy
[2021-02-24 17:52:08.994] boot -  INFO [background-preinit] --- Version:HV000001: Hibernate Validator 5.3.6.Final
[2021-02-24 17:52:10.537] boot -  INFO [main] --- RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-02-24 17:52:12.406] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$66bf407d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2021-02-24 17:52:12.540] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a053824f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2021-02-24 17:52:16.432] boot -  INFO [main] --- RequestMappingHandlerAdapter:Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@6f1de4c7: startup date [Wed Feb 24 17:52:07 CST 2021]; root of context hierarchy
[2021-02-24 17:52:16.575] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/book/info],methods=[GET]}" onto public com.wangjunyao.middleware.server.entity.Book com.wangjunyao.middleware.server.controller.BookController.info(java.lang.Integer,java.lang.String)
[2021-02-24 17:52:16.577] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/cache/pass/item/info],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.wangjunyao.middleware.server.controller.redis.CachePassController.getItem(java.lang.String)
[2021-02-24 17:52:16.584] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/red/packet/rob],methods=[GET],consumes=[application/json;charset=UTF-8]}" onto public com.wangjunyao.middleware.api.response.BaseResponse com.wangjunyao.middleware.server.controller.redis.RedPacketController.rob(java.lang.Integer,java.lang.String)
[2021-02-24 17:52:16.585] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/red/packet/hand/out],methods=[POST],consumes=[application/json;charset=UTF-8]}" onto public com.wangjunyao.middleware.api.response.BaseResponse com.wangjunyao.middleware.server.controller.redis.RedPacketController.handOut(com.wangjunyao.middleware.server.dto.RedPacketDto,org.springframework.validation.BindingResult)
[2021-02-24 17:52:16.589] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
[2021-02-24 17:52:16.589] boot -  INFO [main] --- RequestMappingHandlerMapping:Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2021-02-24 17:52:16.669] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 17:52:16.670] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 17:52:16.752] boot -  INFO [main] --- SimpleUrlHandlerMapping:Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2021-02-24 17:52:17.601] boot -  INFO [main] --- DefaultLifecycleProcessor:Starting beans in phase 2147483647
[2021-02-24 17:52:17.623] boot -  INFO [simpleContainerManual-1] --- CachingConnectionFactory:Attempting to connect to: [127.0.0.1:5672]
[2021-02-24 17:52:17.803] boot -  INFO [simpleContainerManual-1] --- CachingConnectionFactory:Created new connection: rabbitConnectionFactory#2d828b44:0/SimpleConnection@7311c3f1 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 54717]
[2021-02-24 17:52:18.457] boot -  INFO [main] --- RabbitmqTest:Started RabbitmqTest in 11.62 seconds (JVM running for 13.642)
[2021-02-24 17:52:18.747] boot -  INFO [main] --- KnowledgeManualPublisher:基于MANUAL机制 - 生产者发送消息 - 内容为：KnowledgeInfo(id=10011, mode=基于MANUAL的消息确认消费模式, code=manual)
[2021-02-24 17:52:18.788] boot -  INFO [Thread-2] --- GenericWebApplicationContext:Closing org.springframework.web.context.support.GenericWebApplicationContext@6f1de4c7: startup date [Wed Feb 24 17:52:07 CST 2021]; root of context hierarchy
[2021-02-24 17:52:18.796] boot -  INFO [Thread-2] --- DefaultLifecycleProcessor:Stopping beans in phase 2147483647
[2021-02-24 17:52:18.839] boot -  INFO [AMQP Connection 127.0.0.1:5672] --- RabbitmqConfig:消息发送成功：correlationData(null), ack(true), cause(null)
[2021-02-24 17:52:18.841] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:18.862] boot -  INFO [simpleContainerManual-1] --- KnowledgeManualConsumer:确认消费模式 - 人为手动确认消费 - 监听器监听消费消息 - 内容为：KnowledgeInfo(id=10011, mode=基于MANUAL的消息确认消费模式, code=manual)
[2021-02-24 17:52:18.865] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:18.870] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:19.368] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:19.369] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:20.370] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:20.373] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:20.386] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:20.389] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:20.401] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:20.404] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:21.410] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:21.412] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:21.427] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:21.430] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:22.436] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:22.438] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:22.467] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:22.469] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:23.474] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:23.477] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Waiting for workers to finish.
[2021-02-24 17:52:24.486] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Successfully waited for workers to finish.
[2021-02-24 17:52:24.488] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.488] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.488] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.489] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.489] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.489] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
[2021-02-24 17:52:24.489] boot -  INFO [Thread-2] --- SimpleMessageListenerContainer:Shutdown ignored - container is not active already
